iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
138,757.306,1,5.81166,10.5846,42.4645,38.3305,0.297661,0.0695612,0.748676,0.578598,0.998761,0.18105,0.481597,0.303935,0.249915
139,760.906,1,5.88022,10.4269,42.3133,38.1919,0.29091,0.071947,0.770194,0.568859,0.998761,0.174304,0.488077,0.306488,0.252411
140,760.351,1,5.89515,10.2646,42.45,38.2285,0.296544,0.0688167,0.753103,0.568278,0.998761,0.178501,0.47928,0.306717,0.254852
141,756.942,1,5.93878,11.1011,42.4874,38.3373,0.294168,0.069425,0.732485,0.561349,0.998761,0.175264,0.483201,0.307708,0.256691
142,760.503,1,6.04387,10.9832,42.3573,38.2816,0.299106,0.0698214,0.716107,0.546582,0.998761,0.178772,0.457374,0.305314,0.253386
143,758.63,1,5.78954,11.0437,42.5219,38.4167,0.304974,0.0673387,0.706697,0.585871,0.998761,0.186669,0.451462,0.304692,0.251143
144,753.662,1,5.88893,11.0704,42.2826,38.1799,0.298046,0.0700289,0.661789,0.572851,0.998761,0.174309,0.415852,0.30277,0.248326
145,760.041,1,5.84724,11.9519,41.6402,37.6422,0.297383,0.0706398,0.742575,0.582997,0.998761,0.183761,0.459182,0.307851,0.250022
146,776.915,1,5.86135,11.7532,41.5258,37.6043,0.302746,0.0723275,0.726128,0.58002,0.998761,0.178487,0.477602,0.310678,0.25244
147,773.098,1,5.78712,11.8346,41.6877,37.5949,0.298187,0.0746859,0.714063,0.589168,0.998761,0.16873,0.468027,0.308451,0.248545
148,769.498,1,5.67775,11.9182,41.7437,37.748,0.292913,0.0745864,0.728439,0.60832,0.998761,0.171494,0.477054,0.308295,0.246808
149,764.671,1,5.79509,11.5165,41.6704,37.6898,0.298247,0.0727021,0.769513,0.590804,0.998761,0.173568,0.461522,0.311891,0.248559
150,759.107,1,5.61125,11.668,41.6653,37.6606,0.303354,0.0682463,0.742882,0.615091,0.998761,0.18156,0.458277,0.302885,0.240388
151,756.436,1,5.76104,11.4753,41.7211,37.7497,0.305177,0.0672027,0.696163,0.599617,0.998761,0.179518,0.486002,0.29945,0.238529
